Column1,sourceLocationId,destinationLocationId,category,urgency,timeSubmitted,deadline,status,fineAmountGHS
1,51,10,Shuttle Booking - Special Event Transport,low,2026-05-01,2026-05-01,pending,0
2,40,56,Security Incident Report,medium,2026-04-02,2026-04-02,fulfilled,0
3,30,13,Shuttle Booking - Special Event Transport,medium,2026-01-30,2026-01-30,denied,0
4,42,15,Shuttle Booking - Special Event Transport,low,2026-04-16,2026-04-16,fulfilled,0
5,2,33,Maintenance - Electrical Fault,high,2026-02-05,2026-02-12,fulfilled,0
6,55,2,Shuttle Booking - Special Event Transport,medium,2026-03-09,2026-03-09,overdue,0
7,30,10,Shuttle Booking - Special Event Transport,high,2026-04-06,2026-04-06,denied,0
8,17,56,Security Incident Report,high,2026-04-12,2026-04-12,pending,0
9,5,56,Security Incident Report,medium,2026-01-15,2026-01-15,fulfilled,0
10,46,8,Shuttle Booking - Scheduled Route,high,2026-04-30,2026-04-30,fulfilled,0
11,45,33,Maintenance - Electrical Fault,high,2026-02-07,2026-02-12,denied,0
12,55,2,Shuttle Booking - Scheduled Route,medium,2026-01-21,2026-01-21,overdue,0
13,42,33,Maintenance - Plumbing Issue,medium,2026-02-23,2026-02-28,fulfilled,0
14,48,33,Maintenance - Carpentry/Structural,high,2026-04-12,2026-04-13,fulfilled,0
15,54,2,Shuttle Booking - Special Event Transport,medium,2026-02-03,2026-02-03,pending,0
16,11,33,Maintenance - Carpentry/Structural,medium,2026-04-04,2026-04-05,denied,0
17,45,14,Shuttle Booking - Scheduled Route,high,2026-01-12,2026-01-12,fulfilled,0
18,25,33,Maintenance - AC/Ventilation Repair,high,2026-03-03,2026-03-10,fulfilled,0
19,15,33,Maintenance - Electrical Fault,high,2026-02-08,2026-02-11,fulfilled,0
20,10,16,IT Support Request (UGCS),medium,2026-04-28,2026-04-30,fulfilled,0
21,24,33,Maintenance - Plumbing Issue,high,2026-02-07,2026-02-09,fulfilled,0
22,20,16,IT Support Request (UGCS),medium,2026-02-28,2026-03-02,pending,0
23,19,16,IT Support Request (UGCS),medium,2026-04-28,2026-04-29,denied,0
24,6,33,Maintenance - Carpentry/Structural,low,2026-01-31,2026-02-02,pending,0
25,27,33,Maintenance - AC/Ventilation Repair,high,2026-04-16,2026-04-23,pending,0
26,30,9,Shuttle Booking - Scheduled Route,medium,2026-03-30,2026-03-30,fulfilled,0
27,3,33,Maintenance - Plumbing Issue,high,2026-03-18,2026-03-20,denied,0
28,25,23,Lab-Resource Movement - Equipment Transfer,medium,2026-04-27,2026-04-29,pending,0
29,17,33,Maintenance - Plumbing Issue,high,2026-02-10,2026-02-17,fulfilled,0
30,19,16,Lab-Resource Movement - Equipment Transfer,high,2026-05-09,2026-05-10,overdue,0
31,29,29,Shuttle Booking - Scheduled Route,medium,2026-02-12,2026-02-12,overdue,0
32,18,17,Lab-Resource Movement - Instrument Booking,low,2026-03-26,2026-03-28,pending,0
33,53,14,Shuttle Booking - Special Event Transport,medium,2026-04-06,2026-04-06,fulfilled,0
34,9,33,Maintenance - Electrical Fault,medium,2026-05-08,2026-05-11,fulfilled,0
35,46,33,Maintenance - Electrical Fault,low,2026-04-03,2026-04-08,fulfilled,0
36,17,18,Lab-Resource Movement - Equipment Transfer,medium,2026-01-29,2026-01-31,overdue,0
37,50,33,Maintenance - Electrical Fault,low,2026-04-16,2026-04-19,overdue,10
38,50,28,Shuttle Booking - Special Event Transport,high,2026-05-03,2026-05-03,fulfilled,0
39,13,16,IT Support Request (UGCS),low,2026-03-01,2026-03-04,fulfilled,0
40,3,16,IT Support Request (UGCS),high,2026-01-22,2026-01-25,fulfilled,0
41,21,23,Lab-Resource Movement - Equipment Transfer,medium,2026-04-15,2026-04-18,denied,0
42,54,30,Shuttle Booking - Special Event Transport,medium,2026-04-29,2026-04-29,overdue,0
43,1,16,IT Support Request (UGCS),high,2026-03-14,2026-03-15,fulfilled,0
44,52,4,Shuttle Booking - Special Event Transport,low,2026-04-06,2026-04-06,overdue,0
45,25,19,Lab-Resource Movement - Equipment Transfer,high,2026-04-08,2026-04-11,pending,0
46,23,24,Lab-Resource Movement - Instrument Booking,low,2026-05-11,2026-05-12,overdue,0
47,43,9,Shuttle Booking - Scheduled Route,low,2026-02-13,2026-02-13,pending,0
48,47,2,Shuttle Booking - Scheduled Route,high,2026-03-27,2026-03-27,pending,0
49,29,30,Shuttle Booking - Special Event Transport,medium,2026-04-29,2026-04-29,pending,0
50,4,33,Maintenance - Plumbing Issue,medium,2026-03-13,2026-03-15,denied,0
51,52,6,Shuttle Booking - Scheduled Route,low,2026-03-19,2026-03-19,overdue,0
52,25,33,Maintenance - Plumbing Issue,high,2026-02-16,2026-02-17,overdue,50
53,25,16,Lab-Resource Movement - Instrument Booking,medium,2026-04-05,2026-04-08,pending,0
54,28,4,Shuttle Booking - Scheduled Route,medium,2026-02-05,2026-02-05,pending,0
55,15,33,Maintenance - Electrical Fault,low,2026-01-26,2026-01-27,overdue,10
56,17,33,Maintenance - AC/Ventilation Repair,high,2026-04-27,2026-04-30,pending,0
57,44,33,Maintenance - Electrical Fault,medium,2026-03-21,2026-03-23,pending,0
58,27,24,Lab-Resource Movement - Equipment Transfer,medium,2026-03-22,2026-03-25,pending,0
59,44,30,Shuttle Booking - Scheduled Route,low,2026-05-07,2026-05-07,denied,0
60,54,33,Maintenance - Carpentry/Structural,medium,2026-03-11,2026-03-12,denied,0
61,57,56,Security Incident Report,low,2026-04-05,2026-04-05,overdue,0
62,43,31,Shuttle Booking - Special Event Transport,medium,2026-04-05,2026-04-05,pending,0
63,6,33,Maintenance - AC/Ventilation Repair,medium,2026-01-23,2026-01-30,overdue,25
64,47,33,Maintenance - Electrical Fault,medium,2026-03-17,2026-03-18,denied,0
65,20,24,Lab-Resource Movement - Instrument Booking,low,2026-03-06,2026-03-07,pending,0
66,44,33,Maintenance - Plumbing Issue,medium,2026-04-24,2026-04-26,overdue,15
67,53,10,Shuttle Booking - Special Event Transport,high,2026-03-19,2026-03-19,fulfilled,0
68,22,33,Maintenance - AC/Ventilation Repair,medium,2026-03-20,2026-03-23,pending,0
69,36,56,Security Incident Report,low,2026-04-29,2026-04-29,overdue,0
70,46,32,Shuttle Booking - Scheduled Route,low,2026-02-07,2026-02-07,denied,0
71,49,33,Maintenance - AC/Ventilation Repair,medium,2026-03-21,2026-03-28,fulfilled,0
72,18,16,IT Support Request (UGCS),medium,2026-01-15,2026-01-16,denied,0
73,32,56,Security Incident Report,low,2026-01-27,2026-01-27,pending,0
74,13,33,Maintenance - Plumbing Issue,low,2026-03-11,2026-03-16,overdue,20
75,47,9,Shuttle Booking - Special Event Transport,medium,2026-01-28,2026-01-28,overdue,0
76,26,33,Maintenance - Plumbing Issue,high,2026-03-06,2026-03-07,overdue,15
77,51,33,Maintenance - Electrical Fault,high,2026-02-05,2026-02-07,fulfilled,0
78,21,19,Lab-Resource Movement - Equipment Transfer,medium,2026-04-14,2026-04-17,denied,0
79,24,33,Maintenance - Plumbing Issue,medium,2026-04-15,2026-04-16,overdue,20
80,25,56,Security Incident Report,medium,2026-01-14,2026-01-14,denied,0
